Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
chevalblanc/claude-3-haiku:latest,Event,Lenient,0.698,0.293,0.412,180,78,435,615,258
chevalblanc/claude-3-haiku:latest,Event_who,Lenient,0.246,0.073,0.113,44,135,557,601,179
chevalblanc/claude-3-haiku:latest,Event_when,Lenient,0.798,0.177,0.290,95,24,441,536,119
chevalblanc/claude-3-haiku:latest,Event_what,Lenient,0.614,0.149,0.240,113,71,643,756,184
chevalblanc/claude-3-haiku:latest,OVERALL,Lenient,0.584,0.172,0.266,432,308,2076,2508,740
chevalblanc/claude-3-haiku:latest,Event,Strict,0.446,0.187,0.263,115,143,500,615,258
chevalblanc/claude-3-haiku:latest,Event_who,Strict,0.056,0.017,0.026,10,169,591,601,179
chevalblanc/claude-3-haiku:latest,Event_when,Strict,0.050,0.011,0.018,6,113,530,536,119
chevalblanc/claude-3-haiku:latest,Event_what,Strict,0.250,0.061,0.098,46,138,710,756,184
chevalblanc/claude-3-haiku:latest,OVERALL,Strict,0.239,0.071,0.109,177,563,2331,2508,740
deepseek-r1:8b,Event,Lenient,0.295,0.333,0.313,205,489,410,615,694
deepseek-r1:8b,Event_who,Lenient,0.128,0.038,0.059,23,156,578,601,179
deepseek-r1:8b,Event_when,Lenient,0.667,0.250,0.364,134,67,402,536,201
deepseek-r1:8b,Event_what,Lenient,0.441,0.164,0.239,124,157,632,756,281
deepseek-r1:8b,OVERALL,Lenient,0.359,0.194,0.252,486,869,2022,2508,1355
deepseek-r1:8b,Event,Strict,0.233,0.263,0.248,162,532,453,615,694
deepseek-r1:8b,Event_who,Strict,0.045,0.013,0.021,8,171,593,601,179
deepseek-r1:8b,Event_when,Strict,0.060,0.022,0.033,12,189,524,536,201
deepseek-r1:8b,Event_what,Strict,0.149,0.056,0.081,42,239,714,756,281
deepseek-r1:8b,OVERALL,Strict,0.165,0.089,0.116,224,1131,2284,2508,1355
dolphin-mixtral:8x7b,Event,Lenient,0.637,0.328,0.433,202,115,413,615,317
dolphin-mixtral:8x7b,Event_who,Lenient,0.116,0.025,0.041,15,114,586,601,129
dolphin-mixtral:8x7b,Event_when,Lenient,0.725,0.162,0.265,87,33,449,536,120
dolphin-mixtral:8x7b,Event_what,Lenient,0.696,0.146,0.241,110,48,646,756,158
dolphin-mixtral:8x7b,OVERALL,Lenient,0.572,0.165,0.256,414,310,2094,2508,724
dolphin-mixtral:8x7b,Event,Strict,0.353,0.182,0.240,112,205,503,615,317
dolphin-mixtral:8x7b,Event_who,Strict,0.031,0.007,0.011,4,125,597,601,129
dolphin-mixtral:8x7b,Event_when,Strict,0.492,0.110,0.180,59,61,477,536,120
dolphin-mixtral:8x7b,Event_what,Strict,0.177,0.037,0.061,28,130,728,756,158
dolphin-mixtral:8x7b,OVERALL,Strict,0.280,0.081,0.126,203,521,2305,2508,724
dolphin3:8b,Event,Lenient,0.464,0.220,0.298,135,156,480,615,291
dolphin3:8b,Event_who,Lenient,0.158,0.025,0.043,15,80,586,601,95
dolphin3:8b,Event_when,Lenient,0.786,0.123,0.213,66,18,470,536,84
dolphin3:8b,Event_what,Lenient,0.532,0.056,0.101,42,37,714,756,79
dolphin3:8b,OVERALL,Lenient,0.470,0.103,0.169,258,291,2250,2508,549
dolphin3:8b,Event,Strict,0.302,0.143,0.194,88,203,527,615,291
