document,context_length,representative_model,available_tokens,procedure_tokens,circumstances_tokens,decision_tokens,total_tokens,fits_individually,fits_combined,procedure_fits,circumstances_fits,decision_fits
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,4096,gpt-3.5-turbo,3096,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,8192,gpt-4,7192,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,16384,gpt-3.5-turbo-16k,15384,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,32768,gpt-4-32k,31768,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,128000,gpt-4-turbo,127000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,200000,claude-3-haiku,199000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,1000000,gemini-1.5-flash,999000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20ALTAY%20v.%20TURKEY%20(No.%202).docx,2000000,gemini-1.5-pro,1999000,219,1694,296,2209,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,4096,gpt-3.5-turbo,3096,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,8192,gpt-4,7192,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,16384,gpt-3.5-turbo-16k,15384,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,32768,gpt-4-32k,31768,391,1091,321,1803,True,True,True,True,True
file:/C:/Users/mnavas/CASE%20OF%20BELYAYEV%20AND%20OTHERS%20v.%20UKRAINE.docx,128000,gpt-4-turbo,127000,391,1091,321,1803,True,True,True,True,True
