Document,Model,Evaluation_Mode,Overall_Precision,Overall_Recall,Overall_F1,Total_TP,Total_FP,Total_FN,Total_Gold,Total_Predicted
ALTAY v. TURKEY (No. 2),gemma3:1b,Lenient,0.121,0.044,0.065,4,29,87,91,33
ALTAY v. TURKEY (No. 2),gemma3:1b,Strict,0.061,0.022,0.032,2,31,89,91,33
ALTAY v. TURKEY (No. 2),gemma3:4b,Lenient,0.420,0.231,0.298,21,29,70,91,50
ALTAY v. TURKEY (No. 2),gemma3:4b,Strict,0.300,0.165,0.213,15,35,76,91,50
ALTAY v. TURKEY (No. 2),gemma3:12b,Lenient,0.518,0.319,0.395,29,27,62,91,56
ALTAY v. TURKEY (No. 2),gemma3:12b,Strict,0.286,0.176,0.218,16,40,75,91,56
ALTAY v. TURKEY (No. 2),llama3.3:latest,Lenient,0.463,0.484,0.473,44,51,47,91,95
ALTAY v. TURKEY (No. 2),llama3.3:latest,Strict,0.147,0.154,0.151,14,81,77,91,95
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Lenient,0.571,0.176,0.269,16,12,75,91,28
ALTAY v. TURKEY (No. 2),deepseek-r1:8b,Strict,0.143,0.044,0.067,4,24,87,91,28
ALTAY v. TURKEY (No. 2),mistral:latest,Lenient,0.250,0.330,0.284,30,90,61,91,120
ALTAY v. TURKEY (No. 2),mistral:latest,Strict,0.175,0.231,0.199,21,99,70,91,120
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Lenient,0.442,0.253,0.322,23,29,68,91,52
ALTAY v. TURKEY (No. 2),incept5/llama3.1-claude:latest,Strict,0.365,0.209,0.266,19,33,72,91,52
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Lenient,0.459,0.374,0.412,34,40,57,91,74
ALTAY v. TURKEY (No. 2),chevalblanc/claude-3-haiku:latest,Strict,0.068,0.055,0.061,5,69,86,91,74
ALTAY v. TURKEY (No. 2),llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),llama4:16x17b,Strict,0.000,0.000,0.000,0,0,91,91,0
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Lenient,0.622,0.253,0.359,23,14,68,91,37
ALTAY v. TURKEY (No. 2),mixtral:8x7b,Strict,0.081,0.033,0.047,3,34,88,91,37
ALTAY v. TURKEY (No. 2),dolphin3:8b,Lenient,0.452,0.154,0.230,14,17,77,91,31
ALTAY v. TURKEY (No. 2),dolphin3:8b,Strict,0.290,0.099,0.148,9,22,82,91,31
ALTAY v. TURKEY (No. 2),dolphin-mixtral:8x7b,Lenient,0.500,0.286,0.364,26,26,65,91,52
ALTAY v. TURKEY (No. 2),dolphin-mixtral:8x7b,Strict,0.250,0.143,0.182,13,39,78,91,52
BELYAYEV AND OTHERS v. UKRAINE,gemma3:1b,Lenient,0.222,0.146,0.176,6,21,35,41,27
BELYAYEV AND OTHERS v. UKRAINE,gemma3:1b,Strict,0.111,0.073,0.088,3,24,38,41,27
BELYAYEV AND OTHERS v. UKRAINE,gemma3:4b,Lenient,0.125,0.049,0.070,2,14,39,41,16
BELYAYEV AND OTHERS v. UKRAINE,gemma3:4b,Strict,0.000,0.000,0.000,0,16,41,41,16
BELYAYEV AND OTHERS v. UKRAINE,gemma3:12b,Lenient,0.235,0.293,0.261,12,39,29,41,51
BELYAYEV AND OTHERS v. UKRAINE,gemma3:12b,Strict,0.196,0.244,0.217,10,41,31,41,51
BELYAYEV AND OTHERS v. UKRAINE,llama3.3:latest,Lenient,0.286,0.146,0.194,6,15,35,41,21
BELYAYEV AND OTHERS v. UKRAINE,llama3.3:latest,Strict,0.238,0.122,0.161,5,16,36,41,21
BELYAYEV AND OTHERS v. UKRAINE,deepseek-r1:8b,Lenient,0.143,0.049,0.073,2,12,39,41,14
BELYAYEV AND OTHERS v. UKRAINE,deepseek-r1:8b,Strict,0.071,0.024,0.036,1,13,40,41,14
BELYAYEV AND OTHERS v. UKRAINE,mistral:latest,Lenient,0.136,0.195,0.160,8,51,33,41,59
BELYAYEV AND OTHERS v. UKRAINE,mistral:latest,Strict,0.051,0.073,0.060,3,56,38,41,59
BELYAYEV AND OTHERS v. UKRAINE,incept5/llama3.1-claude:latest,Lenient,0.200,0.073,0.107,3,12,38,41,15
BELYAYEV AND OTHERS v. UKRAINE,incept5/llama3.1-claude:latest,Strict,0.200,0.073,0.107,3,12,38,41,15
BELYAYEV AND OTHERS v. UKRAINE,chevalblanc/claude-3-haiku:latest,Lenient,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,chevalblanc/claude-3-haiku:latest,Strict,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,llama4:16x17b,Lenient,0.000,0.000,0.000,0,0,41,41,0
BELYAYEV AND OTHERS v. UKRAINE,llama4:16x17b,Strict,0.000,0.000,0.000,0,0,41,41,0
BELYAYEV AND OTHERS v. UKRAINE,mixtral:8x7b,Lenient,0.200,0.049,0.078,2,8,39,41,10
BELYAYEV AND OTHERS v. UKRAINE,mixtral:8x7b,Strict,0.100,0.024,0.039,1,9,40,41,10
BELYAYEV AND OTHERS v. UKRAINE,dolphin3:8b,Lenient,0.400,0.146,0.214,6,9,35,41,15
