Document,Model,Annotation_Type,Evaluation_Mode,Precision,Recall,F1_Score,True_Positives,False_Positives,False_Negatives,Gold_Count,Predicted_Count
SIDOROVA v. RUSSIA,gemma3:1b,Event,Lenient,0.182,0.154,0.167,2,9,11,13,11
SIDOROVA v. RUSSIA,gemma3:1b,Event,Strict,0.182,0.154,0.167,2,9,11,13,11
SIDOROVA v. RUSSIA,gemma3:1b,Event_who,Lenient,0.167,0.077,0.105,1,5,12,13,6
SIDOROVA v. RUSSIA,gemma3:1b,Event_who,Strict,0.167,0.077,0.105,1,5,12,13,6
SIDOROVA v. RUSSIA,gemma3:1b,Event_when,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,gemma3:1b,Event_when,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,gemma3:1b,Event_what,Lenient,0.000,0.000,0.000,0,1,15,15,1
SIDOROVA v. RUSSIA,gemma3:1b,Event_what,Strict,0.000,0.000,0.000,0,1,15,15,1
SIDOROVA v. RUSSIA,gemma3:4b,Event,Lenient,0.500,0.154,0.235,2,2,11,13,4
SIDOROVA v. RUSSIA,gemma3:4b,Event,Strict,0.250,0.077,0.118,1,3,12,13,4
SIDOROVA v. RUSSIA,gemma3:4b,Event_who,Lenient,0.000,0.000,0.000,0,4,13,13,4
SIDOROVA v. RUSSIA,gemma3:4b,Event_who,Strict,0.000,0.000,0.000,0,4,13,13,4
SIDOROVA v. RUSSIA,gemma3:4b,Event_when,Lenient,0.333,0.077,0.125,1,2,12,13,3
SIDOROVA v. RUSSIA,gemma3:4b,Event_when,Strict,0.333,0.077,0.125,1,2,12,13,3
SIDOROVA v. RUSSIA,gemma3:4b,Event_what,Lenient,0.000,0.000,0.000,0,2,15,15,2
SIDOROVA v. RUSSIA,gemma3:4b,Event_what,Strict,0.000,0.000,0.000,0,2,15,15,2
SIDOROVA v. RUSSIA,gemma3:12b,Event,Lenient,0.667,0.308,0.421,4,2,9,13,6
SIDOROVA v. RUSSIA,gemma3:12b,Event,Strict,0.500,0.231,0.316,3,3,10,13,6
SIDOROVA v. RUSSIA,gemma3:12b,Event_who,Lenient,0.200,0.077,0.111,1,4,12,13,5
SIDOROVA v. RUSSIA,gemma3:12b,Event_who,Strict,0.000,0.000,0.000,0,5,13,13,5
SIDOROVA v. RUSSIA,gemma3:12b,Event_when,Lenient,0.500,0.231,0.316,3,3,10,13,6
SIDOROVA v. RUSSIA,gemma3:12b,Event_when,Strict,0.333,0.154,0.211,2,4,11,13,6
SIDOROVA v. RUSSIA,gemma3:12b,Event_what,Lenient,0.000,0.000,0.000,0,1,15,15,1
SIDOROVA v. RUSSIA,gemma3:12b,Event_what,Strict,0.000,0.000,0.000,0,1,15,15,1
SIDOROVA v. RUSSIA,llama3.3:latest,Event,Lenient,0.667,0.154,0.250,2,1,11,13,3
SIDOROVA v. RUSSIA,llama3.3:latest,Event,Strict,0.667,0.154,0.250,2,1,11,13,3
SIDOROVA v. RUSSIA,llama3.3:latest,Event_who,Lenient,0.333,0.077,0.125,1,2,12,13,3
SIDOROVA v. RUSSIA,llama3.3:latest,Event_who,Strict,0.000,0.000,0.000,0,3,13,13,3
SIDOROVA v. RUSSIA,llama3.3:latest,Event_when,Lenient,0.500,0.077,0.133,1,1,12,13,2
SIDOROVA v. RUSSIA,llama3.3:latest,Event_when,Strict,0.500,0.077,0.133,1,1,12,13,2
SIDOROVA v. RUSSIA,llama3.3:latest,Event_what,Lenient,1.000,0.067,0.125,1,0,14,15,1
SIDOROVA v. RUSSIA,llama3.3:latest,Event_what,Strict,1.000,0.067,0.125,1,0,14,15,1
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event,Lenient,1.000,0.077,0.143,1,0,12,13,1
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event,Strict,1.000,0.077,0.143,1,0,12,13,1
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_who,Lenient,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_who,Strict,0.000,0.000,0.000,0,0,13,13,0
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_when,Lenient,1.000,0.077,0.143,1,0,12,13,1
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_when,Strict,0.000,0.000,0.000,0,1,13,13,1
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_what,Lenient,0.000,0.000,0.000,0,0,15,15,0
SIDOROVA v. RUSSIA,deepseek-r1:8b,Event_what,Strict,0.000,0.000,0.000,0,0,15,15,0
